Timestamp,ambient_temp_c,relative_humidity_pct,dew_point_c,heat_index_c,wireless_signal_strength_dbm,environmental_baseline_offset
2026-01-01 00:00:00,32.06,54.5,21.71,36.26,-66,1.35
2026-01-01 00:01:00,31.77,53.6,21.16,35.68,-65,1.34
2026-01-01 00:02:00,32.34,53.3,21.6,36.49,-64,1.37
2026-01-01 00:03:00,32.93,51.4,21.56,37.05,-65,1.4
2026-01-01 00:04:00,33.43,52.2,22.26,37.92,-65,1.42
2026-01-01 00:05:00,34.05,53.4,23.21,39.06,-69,1.45
2026-01-01 00:06:00,34.61,54.1,23.93,40.04,-68,1.48
2026-01-01 00:07:00,35.37,55.1,24.95,41.41,-69,1.52
2026-01-01 00:08:00,34.19,54.8,23.78,39.53,-67,1.46
2026-01-01 00:09:00,35.54,55.3,25.16,41.71,-68,1.53
2026-01-01 00:10:00,35.94,55.8,25.69,42.45,-68,1.55
2026-01-01 00:11:00,35.58,55.1,25.16,41.75,-67,1.53
2026-01-01 00:12:00,34.86,54.9,24.42,40.58,-69,1.49
2026-01-01 00:13:00,33.77,55.2,23.51,38.95,-69,1.44
2026-01-01 00:14:00,35.19,54.5,24.59,41.01,-70,1.51
2026-01-01 00:15:00,36.44,54.1,25.62,42.9,-69,1.57
2026-01-01 00:16:00,37.12,55.2,26.62,44.24,-68,1.61
2026-01-01 00:17:00,36.72,56.8,26.72,43.91,-67,1.59
2026-01-01 00:18:00,35.62,56.4,25.57,42.05,-66,1.53
2026-01-01 00:19:00,34.04,55.9,23.97,39.5,-66,1.45
2026-01-01 00:20:00,34.46,56.8,24.61,40.29,-70,1.47
2026-01-01 00:21:00,35.03,57.3,25.31,41.3,-70,1.5
2026-01-01 00:22:00,35.61,58.0,26.06,42.36,-69,1.53
2026-01-01 00:23:00,35.07,57.9,25.52,41.47,-69,1.5
2026-01-01 00:24:00,34.49,58.1,25.04,40.59,-73,1.47
2026-01-01 00:25:00,35.79,58.3,26.29,42.69,-71,1.54
2026-01-01 00:26:00,34.99,58.3,25.55,41.41,-71,1.5
2026-01-01 00:27:00,35.25,58.9,25.96,41.93,-70,1.51
2026-01-01 00:28:00,35.78,59.4,26.62,42.9,-69,1.54
2026-01-01 00:29:00,36.19,59.4,26.98,43.56,-70,1.56
2026-01-01 00:30:00,36.66,59.8,27.55,44.42,-70,1.58
2026-01-01 00:31:00,39.03,58.6,29.42,48.18,-69,1.7
2026-01-01 00:32:00,38.2,58.9,28.71,46.8,-67,1.66
2026-01-01 00:33:00,37.31,59.7,28.12,45.48,-68,1.62
2026-01-01 00:34:00,37.22,59.3,27.92,45.25,-67,1.61
2026-01-01 00:35:00,38.28,57.7,28.44,46.68,-66,1.66
2026-01-01 00:36:00,38.62,56.8,28.48,47.05,-69,1.68
2026-01-01 00:37:00,37.81,56.3,27.6,45.6,-68,1.64
2026-01-01 00:38:00,38.81,56.7,28.63,47.36,-68,1.69
2026-01-01 00:39:00,37.4,56.2,27.16,44.89,-68,1.62
2026-01-01 00:40:00,37.88,56.6,27.72,45.76,-70,1.64
2026-01-01 00:41:00,35.58,57.3,25.8,42.16,-65,1.53
2026-01-01 00:42:00,35.55,57.6,25.88,42.17,-67,1.53
2026-01-01 00:43:00,35.31,58.8,25.99,42.02,-67,1.52
2026-01-01 00:44:00,35.11,58.1,25.6,41.56,-67,1.51
2026-01-01 00:45:00,36.06,56.7,26.09,42.83,-69,1.55
2026-01-01 00:46:00,35.62,57.2,25.81,42.2,-70,1.53
2026-01-01 00:47:00,34.45,56.7,24.58,40.27,-69,1.47
2026-01-01 00:48:00,34.29,57.1,24.54,40.08,-70,1.46
2026-01-01 00:49:00,33.67,57.4,24.06,39.18,-70,1.43
2026-01-01 00:50:00,34.5,55.6,24.3,40.15,-70,1.48
2026-01-01 00:51:00,33.93,55.0,23.61,39.17,-70,1.45
2026-01-01 00:52:00,35.74,54.1,25.0,41.81,-70,1.54
2026-01-01 00:53:00,34.5,52.0,23.2,39.5,-68,1.47
2026-01-01 00:54:00,32.66,51.5,21.35,36.67,-68,1.38
2026-01-01 00:55:00,32.85,51.9,21.65,37.01,-66,1.39
2026-01-01 00:56:00,32.85,52.1,21.7,37.05,-66,1.39
2026-01-01 00:57:00,33.67,51.6,22.28,38.17,-68,1.43
2026-01-01 00:58:00,32.5,51.1,21.08,36.37,-68,1.37
2026-01-01 00:59:00,32.51,51.3,21.13,36.41,-67,1.38
2026-01-01 01:00:00,33.13,53.0,22.25,37.61,-65,1.41
2026-01-01 01:01:00,31.04,53.6,20.51,34.63,-65,1.3
2026-01-01 01:02:00,30.24,53.3,19.68,33.44,-63,1.26
2026-01-01 01:03:00,31.39,51.8,20.25,34.85,-62,1.32
2026-01-01 01:04:00,30.77,51.4,19.56,33.91,-62,1.29
2026-01-01 01:05:00,32.13,50.0,20.38,35.66,-64,1.36
2026-01-01 01:06:00,31.53,50.4,19.96,34.86,-64,1.33
2026-01-01 01:07:00,31.83,52.9,21.02,35.67,-66,1.34
2026-01-01 01:08:00,32.11,52.4,21.11,36.0,-68,1.36
2026-01-01 01:09:00,32.44,50.9,20.93,36.24,-69,1.37
2026-01-01 01:10:00,33.37,51.1,21.87,37.66,-67,1.42
2026-01-01 01:11:00,32.39,50.4,20.75,36.1,-68,1.37
2026-01-01 01:12:00,31.14,51.7,20.02,34.5,-65,1.31
2026-01-01 01:13:00,30.56,51.7,19.47,33.66,-63,1.28
2026-01-01 01:14:00,29.03,52.2,18.23,31.57,-63,1.2
2026-01-01 01:15:00,26.56,51.7,15.8,28.13,-64,1.08
2026-01-01 01:16:00,25.98,51.0,15.04,27.26,-66,1.05
2026-01-01 01:17:00,27.04,51.1,16.04,28.69,-68,1.1
2026-01-01 01:18:00,26.05,49.8,14.73,27.22,-68,1.05
2026-01-01 01:19:00,25.04,50.4,14.01,25.95,-69,1.0
2026-01-01 01:20:00,26.23,51.5,15.43,27.66,-68,1.06
2026-01-01 01:21:00,27.73,51.3,16.74,29.66,-67,1.14
2026-01-01 01:22:00,26.42,51.1,15.47,27.86,-66,1.07
2026-01-01 01:23:00,25.48,51.5,14.74,26.65,-68,1.02
2026-01-01 01:24:00,24.85,51.3,14.09,25.79,-68,0.99
2026-01-01 01:25:00,23.89,52.3,13.51,24.64,-68,0.94
2026-01-01 01:26:00,26.23,50.4,15.11,27.54,-68,1.06
2026-01-01 01:27:00,26.88,50.2,15.63,28.38,-67,1.09
2026-01-01 01:28:00,26.16,50.6,15.1,27.47,-67,1.06
2026-01-01 01:29:00,25.49,51.1,14.64,26.63,-66,1.02
2026-01-01 01:30:00,24.05,49.9,12.93,24.61,-67,0.95
2026-01-01 01:31:00,22.51,49.9,11.52,22.63,-67,0.88
2026-01-01 01:32:00,22.11,49.1,10.93,22.06,-68,0.86
2026-01-01 01:33:00,22.97,50.0,11.98,23.23,-68,0.9
