Timestamp,voltage_v_ln_avg,voltage_v_ll_avg,voltage_v_l1_n,voltage_v_l2_n,voltage_v_l3_n,current_a_avg,current_a_l1,current_a_l2,current_a_l3,current_a_neutral,active_power_kw_total,active_power_kw_l1,active_power_kw_l2,active_power_kw_l3,apparent_power_kva_total,reactive_power_kvar_total,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,frequency_hz,voltage_thd_percent,current_thd_percent,active_energy_kwh,apparent_energy_kvah,rolling_kva_15min,md_proximity_percent
2026-01-01 00:00:00,239.79,415.32,240.03,240.95,238.4,142.25,146.89,145.44,134.42,0.16,97.57,34.03,34.28,29.26,102.32,30.84,0.954,0.954,0.954,0.954,50.02,3.37,9.75,150000.41,157500.43,103.06,68.7
2026-01-01 00:01:00,239.46,414.75,238.14,238.34,241.92,237.68,259.4,254.68,198.96,0.54,136.31,48.58,47.63,40.1,170.74,102.82,0.798,0.798,0.798,0.798,49.99,3.87,11.97,150000.97,157501.02,171.01,114.01
2026-01-01 00:02:00,239.48,414.78,238.76,237.06,242.63,183.59,191.81,191.4,167.57,0.07,124.81,43.54,44.23,37.04,131.89,42.65,0.946,0.946,0.946,0.946,49.97,3.69,11.48,150001.49,157501.57,133.07,88.72
2026-01-01 00:03:00,239.6,414.98,238.25,237.93,242.61,143.22,144.71,143.17,141.77,0.21,97.49,32.47,33.4,31.62,102.94,33.04,0.947,0.947,0.947,0.947,49.94,3.36,9.28,150001.9,157502.0,105.06,70.04
2026-01-01 00:04:00,239.48,414.77,238.79,238.85,240.79,143.15,145.33,140.64,143.49,0.95,98.16,32.57,33.44,32.14,102.84,30.68,0.954,0.954,0.954,0.954,49.96,3.33,9.52,150002.31,157502.43,101.48,67.65
2026-01-01 00:05:00,239.24,414.37,237.75,239.07,240.9,144.12,147.25,150.49,134.64,0.34,99.32,34.38,34.67,30.26,103.44,28.89,0.96,0.96,0.96,0.96,49.95,3.11,9.5,150002.72,157502.86,102.74,68.49
2026-01-01 00:06:00,239.26,414.4,241.13,240.01,236.65,143.92,154.25,159.5,118.0,0.93,98.95,36.69,35.55,26.71,103.3,29.67,0.958,0.958,0.958,0.958,49.98,3.14,9.34,150003.14,157503.29,99.77,66.52
2026-01-01 00:07:00,238.84,413.67,240.34,238.34,237.84,145.01,155.17,153.79,126.05,0.32,100.01,35.38,34.15,30.48,103.89,28.14,0.963,0.963,0.963,0.963,49.95,3.32,10.06,150003.55,157503.73,102.56,68.38
2026-01-01 00:08:00,238.42,412.94,239.98,240.99,234.28,184.43,188.15,184.96,180.18,0.72,127.22,41.99,43.79,41.44,131.91,34.84,0.964,0.964,0.964,0.964,49.96,3.35,11.27,150004.08,157504.29,130.31,86.87
2026-01-01 00:09:00,238.57,413.21,240.64,241.42,233.66,146.32,153.71,150.55,134.71,0.43,100.65,34.14,36.08,30.43,104.72,28.92,0.961,0.961,0.961,0.961,49.94,2.97,10.12,150004.5,157504.73,103.2,68.8
2026-01-01 00:10:00,238.66,413.35,241.48,239.79,234.7,146.28,159.26,155.42,124.16,0.4,101.31,35.9,35.41,30.01,104.73,26.52,0.967,0.967,0.967,0.967,49.95,3.19,10.09,150004.92,157505.17,102.13,68.09
2026-01-01 00:11:00,238.99,413.93,236.56,239.02,241.39,146.41,153.29,156.68,129.25,0.74,101.91,36.66,36.17,29.08,104.96,25.11,0.971,0.971,0.971,0.971,49.97,3.39,9.68,150005.35,157505.62,105.69,70.46
2026-01-01 00:12:00,239.26,414.4,238.87,241.28,237.63,144.81,150.14,148.71,135.59,0.27,100.15,34.76,34.66,30.74,103.94,27.81,0.964,0.964,0.964,0.964,49.97,3.42,10.02,150005.77,157506.05,102.81,68.54
2026-01-01 00:13:00,239.42,414.68,242.77,242.58,232.93,184.33,190.41,187.98,174.6,0.35,127.25,42.78,42.28,42.19,132.39,36.54,0.961,0.961,0.961,0.961,49.98,4.1,11.17,150006.3,157506.61,133.49,88.99
2026-01-01 00:14:00,239.47,414.77,243.02,243.41,231.99,144.72,142.26,142.21,149.69,0.01,99.99,32.95,34.55,32.48,103.96,28.48,0.962,0.962,0.962,0.962,49.97,3.44,9.14,150006.71,157507.05,104.37,69.58
2026-01-01 00:15:00,239.58,414.95,245.98,245.83,226.93,146.28,151.86,151.19,135.8,0.17,101.01,33.72,34.08,33.21,105.13,29.15,0.961,0.961,0.961,0.961,49.96,3.33,9.19,150007.13,157507.49,107.19,71.46
2026-01-01 00:16:00,239.58,414.95,245.79,244.82,228.12,146.89,148.18,144.99,147.49,0.75,102.21,34.01,33.67,34.54,105.57,26.41,0.968,0.968,0.968,0.968,49.95,3.54,9.45,150007.56,157507.94,106.74,71.16
2026-01-01 00:17:00,239.72,415.19,245.43,245.94,227.79,147.82,146.86,145.31,151.29,0.33,103.89,33.98,34.21,35.69,106.3,22.5,0.977,0.977,0.977,0.977,49.94,3.47,8.88,150007.99,157508.39,109.13,72.76
2026-01-01 00:18:00,239.98,415.64,244.28,242.06,233.6,189.08,193.58,192.24,181.43,0.25,133.58,45.72,46.62,41.25,136.12,26.18,0.981,0.981,0.981,0.981,49.93,3.7,10.7,150008.55,157508.98,135.66,90.44
2026-01-01 00:19:00,240.51,416.56,241.35,241.7,238.47,149.35,155.42,154.91,137.7,0.09,105.41,35.84,37.03,32.54,107.75,22.33,0.978,0.978,0.978,0.978,49.92,3.38,9.14,150008.99,157509.44,107.14,71.42
