Timestamp,gas_concentration_ppm,micro_particle_index,internal_panel_temp_c,rate_of_thermal_rise_c_per_min,ambient_humidity_pct,air_quality_index,alert_severity_level
2026-01-01 00:00:00,0.85,3.97,40.9,5.89,46.1,0,NORMAL
2026-01-01 00:01:00,0.78,3.94,57.3,16.4,46.4,0,NORMAL
2026-01-01 00:02:00,46.03,96.78,65.9,3.37,79.1,8,ALARM
2026-01-01 00:03:00,54.07,104.74,70.1,4.1,81.7,9,CRITICAL
2026-01-01 00:04:00,42.23,112.34,74.0,3.42,75.7,8,CRITICAL
2026-01-01 00:05:00,46.9,113.48,77.9,3.98,77.4,9,CRITICAL
2026-01-01 00:06:00,49.89,114.41,81.5,4.67,83.4,9,CRITICAL
2026-01-01 00:07:00,38.57,122.69,85.0,1.71,80.2,8,CRITICAL
2026-01-01 00:08:00,43.49,129.21,92.2,3.05,78.8,9,CRITICAL
2026-01-01 00:09:00,43.94,124.93,95.2,4.01,72.5,9,CRITICAL
2026-01-01 00:10:00,45.02,108.11,98.1,4.04,62.3,8,CRITICAL
2026-01-01 00:11:00,41.52,98.69,100.7,3.92,62.2,8,ALARM
2026-01-01 00:12:00,39.77,100.65,103.1,3.57,63.3,8,CRITICAL
2026-01-01 00:13:00,37.9,91.58,109.1,2.81,63.7,7,ALARM
2026-01-01 00:14:00,34.07,81.46,111.0,2.95,67.7,6,ALARM
2026-01-01 00:15:00,33.7,102.5,112.9,2.75,71.4,7,CRITICAL
2026-01-01 00:16:00,39.26,119.15,114.8,3.41,75.3,8,CRITICAL
2026-01-01 00:17:00,31.5,107.45,116.7,2.84,71.6,7,CRITICAL
2026-01-01 00:18:00,31.95,95.9,122.6,2.15,75.3,7,ALARM
2026-01-01 00:19:00,31.16,90.28,123.9,3.93,81.1,6,ALARM
2026-01-01 00:20:00,36.38,62.86,125.3,5.05,78.6,6,ALARM
2026-01-01 00:21:00,37.25,79.37,126.8,5.77,81.4,6,ALARM
2026-01-01 00:22:00,46.41,81.14,128.3,5.67,83.7,7,ALARM
2026-01-01 00:23:00,43.15,62.58,129.6,5.79,92.0,6,ALARM
2026-01-01 00:24:00,42.68,52.21,130.7,4.18,92.4,6,ALARM
2026-01-01 00:25:00,49.38,49.01,135.9,3.3,87.0,6,ALARM
2026-01-01 00:26:00,55.63,38.95,136.4,3.08,85.6,7,ALARM
2026-01-01 00:27:00,55.17,54.69,137.0,3.95,87.0,7,ALARM
2026-01-01 00:28:00,68.61,52.19,137.7,1.88,81.7,8,ALARM
2026-01-01 00:29:00,63.94,40.89,138.3,0.9,84.2,8,ALARM
2026-01-01 00:30:00,59.73,67.06,139.0,1.24,79.3,8,ALARM
2026-01-01 00:31:00,64.29,65.26,144.1,0.05,69.0,9,ALARM
2026-01-01 00:32:00,54.94,53.73,144.9,0.3,65.1,7,ALARM
2026-01-01 00:33:00,52.01,54.74,145.4,0.77,73.1,7,ALARM
2026-01-01 00:34:00,50.01,46.55,150.1,0.82,75.1,6,ALARM
2026-01-01 00:35:00,56.39,51.68,150.4,0.96,83.6,7,ALARM
2026-01-01 00:36:00,50.3,55.46,150.6,0.28,68.9,7,ALARM
2026-01-01 00:37:00,40.22,60.66,154.8,2.21,66.4,6,ALARM
2026-01-01 00:38:00,48.35,61.88,154.8,1.9,72.9,7,ALARM
2026-01-01 00:39:00,48.11,65.53,154.7,1.1,84.4,7,ALARM
2026-01-01 00:40:00,50.35,66.99,158.8,1.5,78.8,7,ALARM
