Timestamp,z_axis_rms_velocity_mm_sec,x_axis_rms_velocity_mm_sec,z_axis_peak_acceleration_g,x_axis_peak_acceleration_g,high_frequency_rms_acceleration_g,z_axis_kurtosis,x_axis_kurtosis,z_axis_crest_factor,x_axis_crest_factor,peak_velocity_component_freq_hz,temperature_c,iso_health_zone,data_source
2026-01-01 00:00:00,0.28,0.1,0.42,0.15,0.03,2.99,2.87,15.0,14.79,0.0,32.06,ZONE_A,synthetic
2026-01-01 00:01:00,1.65,1.03,2.48,1.55,0.25,2.8,2.31,10.06,29.91,36.4,44.8,ZONE_A,synthetic
2026-01-01 00:02:00,4.52,3.19,6.96,4.97,0.68,2.55,2.31,10.26,31.16,38.3,45.23,ZONE_B,synthetic
2026-01-01 00:03:00,2.19,1.76,3.46,2.66,0.33,2.25,2.11,10.5,30.33,33.8,45.98,ZONE_A,synthetic
2026-01-01 00:04:00,0.31,0.09,0.46,0.14,0.03,3.07,2.98,15.0,13.63,0.0,33.43,ZONE_A,synthetic
2026-01-01 00:05:00,1.88,1.3,2.88,1.99,0.28,2.31,1.98,10.19,30.58,39.8,45.51,ZONE_A,synthetic
2026-01-01 00:06:00,0.31,0.11,0.47,0.17,0.03,3.06,3.12,15.0,16.98,0.0,34.61,ZONE_A,synthetic
2026-01-01 00:07:00,1.73,1.38,2.55,1.79,0.26,2.48,2.02,9.82,25.79,44.5,48.66,ZONE_A,synthetic
2026-01-01 00:08:00,4.14,2.71,6.18,4.17,0.62,2.73,1.99,9.96,30.74,37.9,46.37,ZONE_B,synthetic
2026-01-01 00:09:00,1.63,0.87,2.36,1.33,0.24,2.89,2.34,9.68,30.64,41.7,48.17,ZONE_A,synthetic
2026-01-01 00:10:00,1.52,1.0,2.34,1.64,0.23,2.82,2.56,10.26,32.63,36.4,50.58,ZONE_A,synthetic
2026-01-01 00:11:00,1.19,1.02,1.71,1.39,0.18,3.03,2.58,9.57,27.23,31.9,49.66,ZONE_A,synthetic
2026-01-01 00:12:00,1.51,1.03,2.27,1.65,0.23,3.12,2.71,10.01,32.05,38.8,49.58,ZONE_A,synthetic
2026-01-01 00:13:00,3.76,2.61,5.61,3.88,0.56,3.22,2.76,9.94,29.73,37.1,48.46,ZONE_B,synthetic
2026-01-01 00:14:00,0.38,0.12,0.58,0.18,0.04,2.76,2.9,15.0,18.01,0.0,35.19,ZONE_A,synthetic
2026-01-01 00:15:00,1.78,1.24,2.53,1.82,0.27,3.07,2.67,9.51,29.32,40.6,51.57,ZONE_A,synthetic
2026-01-01 00:16:00,1.9,1.38,2.91,2.12,0.29,3.07,2.57,10.21,30.82,38.3,53.94,ZONE_A,synthetic
2026-01-01 00:17:00,1.4,1.25,2.31,1.98,0.21,3.21,3.12,10.99,31.75,39.7,53.5,ZONE_A,synthetic
2026-01-01 00:18:00,4.46,3.48,6.84,5.07,0.67,3.12,3.03,10.23,29.11,34.5,52.62,ZONE_B,synthetic
2026-01-01 00:19:00,1.48,1.49,2.28,1.97,0.22,2.98,2.96,10.29,26.41,31.5,51.06,ZONE_A,synthetic
2026-01-01 00:20:00,0.35,0.09,0.53,0.14,0.04,3.27,3.39,15.0,13.51,0.0,34.46,ZONE_A,synthetic
2026-01-01 00:21:00,0.29,0.09,0.44,0.13,0.03,3.23,3.18,15.0,12.82,0.0,35.03,ZONE_A,synthetic
2026-01-01 00:22:00,1.69,1.34,2.69,2.23,0.25,2.91,2.66,10.64,33.25,26.6,51.69,ZONE_A,synthetic
2026-01-01 00:23:00,0.33,0.08,0.5,0.12,0.03,3.1,3.18,15.0,12.34,0.0,35.07,ZONE_A,synthetic
2026-01-01 00:24:00,1.95,1.53,2.81,2.15,0.29,2.6,2.47,9.61,28.15,33.8,50.17,ZONE_A,synthetic
2026-01-01 00:25:00,0.34,0.08,0.51,0.12,0.03,3.17,3.14,15.0,11.52,0.0,35.79,ZONE_A,synthetic
2026-01-01 00:26:00,0.27,0.11,0.4,0.16,0.03,3.04,3.24,15.0,16.1,0.0,34.99,ZONE_A,synthetic
2026-01-01 00:27:00,0.3,0.1,0.44,0.15,0.03,3.19,3.13,15.0,14.67,0.0,35.25,ZONE_A,synthetic
2026-01-01 00:28:00,0.26,0.1,0.39,0.15,0.03,3.2,3.2,15.0,15.35,0.0,35.78,ZONE_A,synthetic
2026-01-01 00:29:00,1.93,1.58,2.78,2.11,0.29,2.39,2.25,9.61,26.59,34.2,49.71,ZONE_A,synthetic
2026-01-01 00:30:00,2.06,1.71,3.14,2.31,0.31,2.25,1.97,10.16,26.99,43.0,48.62,ZONE_A,synthetic
2026-01-01 00:31:00,4.54,3.25,6.94,4.83,0.68,1.95,1.44,10.19,29.78,37.1,50.73,ZONE_B,synthetic
2026-01-01 00:32:00,2.17,1.26,3.33,2.0,0.33,2.66,1.81,10.24,31.77,40.6,49.67,ZONE_A,synthetic
2026-01-01 00:33:00,2.25,0.96,3.39,1.92,0.34,2.64,1.9,10.04,40.11,46.6,47.71,ZONE_A,synthetic
2026-01-01 00:34:00,0.29,0.13,0.43,0.19,0.03,2.68,2.69,15.0,19.08,0.0,37.22,ZONE_A,synthetic
2026-01-01 00:35:00,2.17,1.37,3.21,2.29,0.33,2.6,2.28,9.86,33.39,43.7,49.85,ZONE_A,synthetic
2026-01-01 00:36:00,2.32,1.84,3.51,2.87,0.35,2.71,2.86,10.09,31.15,44.7,50.48,ZONE_A,synthetic
2026-01-01 00:37:00,4.96,3.92,7.25,5.3,0.74,2.87,2.48,9.73,27.03,37.3,51.23,ZONE_B,synthetic
